N,0.021,0.107,0.278,0.427,0.854,1.28,5.34,107
1,1.000,0.995,0.992,0.997,0.992,0.993,0.995,0.993
2,1.000,0.963,0.721,0.628,0.618,0.615,0.596,0.581
3,1.000,0.918,0.586,0.493,0.456,0.450,0.447,0.466
4,1.000,0.921,0.605,0.523,0.548,0.544,0.543,0.570
5,1.000,0.928,0.599,0.553,0.611,0.617,0.620,0.625
6,1.000,0.927,0.588,0.548,0.651,0.676,0.692,0.689
7,1.000,0.925,0.603,0.552,0.675,0.700,0.718,0.745
8,1.000,0.925,0.603,0.548,0.679,0.719,0.754,0.760
9,1.000,0.924,0.602,0.538,0.671,0.740,0.780,0.790
10,1.000,0.924,0.603,0.540,0.669,0.758,0.801,0.822
15,1.000,0.927,0.602,0.539,0.677,0.760,0.862,0.884
20,1.000,0.925,0.601,0.538,0.676,0.772,0.899,0.926
25,1.000,0.925,0.602,0.538,0.679,0.773,0.921,0.939
30,1.000,0.925,0.601,0.538,0.680,0.773,0.925,0.970
35,1.000,0.924,0.601,0.535,0.675,0.767,0.928,0.961
40,1.000,0.928,0.601,0.536,0.675,0.769,0.938,0.959
45,1.000,0.925,0.600,0.533,0.673,0.769,0.930,0.960
50,1.000,0.925,0.598,0.531,0.676,0.770,0.943,0.978
